akka-stream-alpakka-orientdb,2.11,25,24,37,16,14,21,64,20,33,15,22,48
akka-stream-alpakka-orientdb,2.12,24,28,50,30,34,40,75,31,39,30,25,39
akka-stream-alpakka-orientdb,2.13,0,0,0,0,0,0,16,11,6,15,13,16
akka-stream-alpakka-orientdb,,49,52,87,46,48,61,155,62,78,60,60,103
,
akka-stream-alpakka-s3,2.11,1749,1777,2182,2419,2258,2236,934,1112,657,884,501,415
akka-stream-alpakka-s3,2.12,4184,4074,4021,4508,4478,2867,3798,3537,3841,4860,5333,5097
akka-stream-alpakka-s3,2.13,0,0,0,0,0,0,44,74,76,142,137,467
akka-stream-alpakka-s3,,5933,5851,6203,6927,6736,5103,4776,4723,4574,5886,5971,5979
,
akka-stream-alpakka-simple-codecs,2.11,49,90,100,38,38,48,119,23,46,36,48,81
akka-stream-alpakka-simple-codecs,2.12,723,623,606,566,492,290,359,277,313,343,309,307
akka-stream-alpakka-simple-codecs,2.13,0,0,0,0,0,0,18,9,7,15,16,16
akka-stream-alpakka-simple-codecs,,772,713,706,604,530,338,496,309,366,394,373,404
,
akka-stream-alpakka-slick,2.11,411,152,137,93,111,110,173,81,756,294,53,100
akka-stream-alpakka-slick,2.12,1238,1306,1222,1167,958,693,966,763,960,1572,1603,1614
akka-stream-alpakka-slick,2.13,0,0,0,0,0,0,54,59,76,129,231,623
akka-stream-alpakka-slick,,1649,1458,1359,1260,1069,803,1193,903,1792,1995,1887,2337
,
akka-stream-alpakka-sns,2.11,72,72,84,60,29,51,130,48,75,56,50,95
akka-stream-alpakka-sns,2.12,314,285,375,328,473,325,425,251,1559,500,1047,1360
akka-stream-alpakka-sns,2.13,0,0,0,0,0,0,22,13,19,19,21,33
akka-stream-alpakka-sns,,386,357,459,388,502,376,577,312,1653,575,1118,1488
,
akka-stream-alpakka-solr,2.11,20,29,40,17,23,25,59,21,36,20,25,32
akka-stream-alpakka-solr,2.12,43,49,74,64,61,61,98,50,63,50,47,68
akka-stream-alpakka-solr,2.13,0,0,0,0,0,0,16,14,13,16,17,30
akka-stream-alpakka-solr,,63,78,114,81,84,86,173,85,112,86,89,130
,
akka-stream-alpakka-spring-web,2.11,20,37,53,19,21,25,73,24,39,21,25,81
akka-stream-alpakka-spring-web,2.12,51,61,93,75,214,175,217,94,71,83,240,180
akka-stream-alpakka-spring-web,2.13,0,0,0,0,0,0,19,13,14,16,21,60
